SKU,Name,Description
"CA6025S134-N","Brašna na notebook 15,6""","""Praktická a stylová aktovka na notebook i tablet Apple iPad® Pro 12,9"" – perfektní pomocník pro všechny, kteří potřebují mít své zařízení vždy po ruce. Vyrobená z kvalitních materiálů, kombinuje odolnost s elegantním designem. Ideální pro kancelář, školu nebo cestování."
"CA6026S134-M","Bota personalizovatelná, ideální pro notebook a iPad® Pro 12,9"" – vaše perfektní společnice pro p...","Bota personalizovatelná, ideální pro notebook a iPad® Pro 12,9"" – vaše perfektní společnice pro práci i cestování!"
"CA6026S134-N","Bota personalizovatelná, ideální pro notebook a iPad® Pro 12,9"" – vaše perfektní společnice pro p...","Bota personalizovatelná, ideální pro notebook a iPad® Pro 12,9"" – vaše perfektní společnice pro práci i cestování!"
"CA6105B2V-MO","Tenká kufříková taška na notebook a iPad® se zaklapávacím uzávěrem","Tenká kufříková taška na notebook a iPad® se zaklapávacím uzávěrem"
"CA6105B2V-N","Tenká kufříková taška na notebook a iPad® se zaklapávacím uzávěrem","Tenká kufříková taška na notebook a iPad® se zaklapávacím uzávěrem"
"CA6172PQLS2-AR","Tracolla crossbody modello personal case - AR","Křížový batoh model Personal Case"
"CA6213W92-N","Kvalitní dámský batoh z přírodní kůže - N","Kvalitní dámský batoh z přírodní kůže"
"CA6216W92-N","Záložní taška pro ženy s odděleným oddílem pro notebook a tablet iPad® - N","Záložní taška pro ženy s odděleným oddílem pro notebook a tablet iPad®"
"CA6238W129-AV","Mužský notebookový a iPad® batoh s vnitřní kapesou - AV","Mužský notebookový a iPad® batoh s vnitřní kapesou"
"CA6238W129-N","Mužský notebookový a iPad® batoh s vnitřní kapesou - N","Mužský notebookový a iPad® batoh s vnitřní kapesou"
"CA6238W129-TM","Mužský notebookový a iPad® batoh s vnitřní kapesou - TM","Mužský notebookový a iPad® batoh s vnitřní kapesou"
"CA6239W129BM-BLU","Zavazadla na notebook a iPad® s USB portem a","Zavazadla na notebook a iPad® s USB portem a"
"CA6239W129BM-N","Zavazadla na notebook a iPad® s USB portem a","Zavazadla na notebook a iPad® s USB portem a"
"CA6239W129BM-TM","Zavazadla na notebook a iPad® s USB portem a","Zavazadla na notebook a iPad® s USB portem a"
"CA6289B2V-MO","Závěsná taška z kvalitní kůže s odděleným oddílem na notebook a iPad® a praktickým anténním kabelem","Závěsná taška z kvalitní kůže s odděleným oddílem na notebook a iPad® a praktickým anténním kabelem."
"CA6289MOS-BLU","Kabát pro notebook a iPad® s","Kabát pro notebook a iPad® s"
"CA6291C2OW-BLU","Záložní táta roll-top pro PC a iPad® s prsní šňůrou - BLU","Záložní táta roll-top pro PC a iPad® s prsní šňůrou"
"CA6291C2OW-N","Záložní táta roll-top pro PC a iPad® s prsní šňůrou - N","Záložní táta roll-top pro PC a iPad® s prsní šňůrou"
"CA6303MOS-BLU","Borsello uomo porta iPad®mini - BLU","Mužská kožená peněženka na iPad® Mini"
"CA6303MOS-N","Borsello uomo porta iPad®mini - N","Mužská kožená peněženka na iPad® Mini"
"CA6336W92T-N","Dámská kabelka s oddělenou nosnou částí pro notebook a iPad® - N","Dámská kabelka s oddělenou nosnou částí pro notebook a iPad®"
"CA6383BR2-N","Tenký a praktický batoh s oddílem na notebook a iPad® – ideální pro každodenní použití","Tenký a praktický batoh s oddílem na notebook a iPad® – ideální pro každodenní použití."
"CA6384BR2-N","Tenký unisex batoh s odděleným oddílem pro notebook a iPad®. - N","Tenký unisex batoh s odděleným oddílem pro notebook a iPad®."
"CA6454W134-AR","Zainetto donna in pelle con porta iPad®mini - AR","Damský kožený aktovkový batoh s oddílem pro iPad® mini"
"CA6454W134-N","Zainetto donna in pelle con porta iPad®mini - N","Damský kožený aktovkový batoh s oddílem pro iPad® mini"
"CA6454W134-OT","Zainetto donna in pelle con porta iPad®mini - OT","Damský kožený aktovkový batoh s oddílem pro iPad® mini"
"CA6455W134-N","Záložní taška pro dámu z kvalitní kůže s odděleným oddílem pro notebook a slotem pro iPad®","Záložní taška pro dámu z kvalitní kůže s odděleným oddílem pro notebook a slotem pro iPad®."
"CA6456W134-N","Ženská taška z kůže s odděleným oddílem pro notebook a iPad® - N","Ženská taška z kůže s odděleným oddílem pro notebook a iPad®"
"CA6465C2OW-BLU","Nákladní taška pro notebook a iPad® s - BLU","Nákladní taška pro notebook a iPad® s"
"CA6466C2OW-BLU","Jedno ramenová taška pro iPad® mini s ochranou - BLU","Jedno ramenová taška pro iPad® mini s ochranou"
"CA6466C2OW-N","Jedno ramenová taška pro iPad® mini s ochranou - N","Jedno ramenová taška pro iPad® mini s ochranou"
"CA6467C2OW-N","Neslučitelně stylová a praktická taška pro notebook a iPad® Pro 12,9"" – lehká a odolná s možností...","Neslučitelně stylová a praktická taška pro notebook a iPad® Pro 12,9"" – lehká a odolná s možností nosit ji jako batoh. Dokonalý společník pro každodenní dobrodružství!"
"CA6501B3-CU","Mužský batoh na počítač a iPad® s","Mužský batoh na počítač a iPad® s"
"CA6501B3-N","Mužský batoh na počítač a iPad® s","Mužský batoh na počítač a iPad® s"
"CA6501B3-TM","Mužský batoh na počítač a iPad® s","Mužský batoh na počítač a iPad® s"
"CA6503B3-CU","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moder...","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moderního člověka."
"CA6503B3-N","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moder...","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moderního člověka."
"CA6503B3-TM","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moder...","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moderního člověka."
"CA6503B3-VEVE","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moder...","Záhon pro muže s počítačem a iPad® Pro 12,9"" – stylový, odolný a prostorný návštevníček pro moderního člověka."
"CA6540UB00-NGR","Přenosná monospálová taška se západkou a ochranou - NGR","Přenosná monospálová taška se západkou a ochranou"
"CA6564MOS-BLU","Tracolla crossbody modello personal case - BLU","**Proužková kabelka na rameno z koženky – osobní stylový doplněk**"
"CA6564MOS-N","Tracolla crossbody modello personal case - N","**Proužková kabelka na rameno z koženky – osobní stylový doplněk**"
"CA6572W92-N","Marsupio donna piccolo in pelle con manico - N","Kapsa pro ženy z kvalitní kůže s elegantním rukojetím"
"CA6588B2-MO","Tracolla uomo porta iPad®mini - MO","**Praktický a stylový mužský náramkový pouzdro na iPad® mini s kapesou pro AirPods**"
"CA6588B2-N","Tracolla uomo porta iPad®mini - N","**Praktický a stylový mužský náramkový pouzdro na iPad® mini s kapesou pro AirPods**"
"CA6589B2-CU4","Nositelný mužský kožený jedn ramenní batoh - CU4","Nositelný mužský kožený jedn ramenní batoh"
"CA6589B2-N","Nositelný mužský kožený jedn ramenní batoh - N","Nositelný mužský kožený jedn ramenní batoh"
"CA6590B2-BLU2","Nákladná taška na notebook s možností personalizace a ochrannými prvky","Nákladná taška na notebook s možností personalizace a ochrannými prvky"
"CA6590B2-N","Nákladná taška na notebook s možností personalizace a ochrannými prvky","Nákladná taška na notebook s možností personalizace a ochrannými prvky"
"CA6591B2-MO","Základní taška na notebook a iPad® s možností personalizace - MO","Základní taška na notebook a iPad® s možností personalizace"
"CA6591B2-N","Základní taška na notebook a iPad® s možností personalizace - N","Základní taška na notebook a iPad® s možností personalizace"
"CA6592B2BM-G","Záložní batoh na notebook a iPad® s možností personalizace a odolnou ochranou","Záložní batoh na notebook a iPad® s možností personalizace a odolnou ochranou."
"CA6592B2BM-MO","Záložní batoh na notebook a iPad® s možností personalizace a odolnou ochranou","Záložní batoh na notebook a iPad® s možností personalizace a odolnou ochranou."
"CA6592B2BM-N","Záložní batoh na notebook a iPad® s možností personalizace a odolnou ochranou","Záložní batoh na notebook a iPad® s možností personalizace a odolnou ochranou."
"CA6593B2-CU4","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti"
"CA6593B2-G","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti"
"CA6593B2-MO","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti"
"CA6593B2-N","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti","Zakladní taška na notebook a iPad® s možností personalizace s ochranou proti dešti"
"CA6609S135-BE","Zanikavý a stylový batoh na notebook a iPad® Pro 12,9"" – dokonalá kombinace praktičnosti a chic d...","Zanikavý a stylový batoh na notebook a iPad® Pro 12,9"" – dokonalá kombinace praktičnosti a chic designu pro každodenní dobrodružství."
"CA6609S135-N","Zanikavý a stylový batoh na notebook a iPad® Pro 12,9"" – dokonalá kombinace praktičnosti a chic d...","Zanikavý a stylový batoh na notebook a iPad® Pro 12,9"" – dokonalá kombinace praktičnosti a chic designu pro každodenní dobrodružství."
"CA6610S135-N","Závěsný batoh na notebook a iPad®","Závěsný batoh na notebook a iPad®"
"CA6615S135-BLU","Mužský peněženkový pouzdro pro iPad® mini - BLU","Mužský peněženkový pouzdro pro iPad® mini"
"CA6615S135-N","Mužský peněženkový pouzdro pro iPad® mini - N","Mužský peněženkový pouzdro pro iPad® mini"
"CA6617S135-N","mužský křížový batoh z kvalitní kůže, který kombinuje styl a funkčnost","Praktický mužský křížový batoh z kvalitní kůže, který kombinuje styl a funkčnost. Ideální pro každodenní použití nebo cestování, nabízí dostatek prostoru pro všechny vaše potřeby. Vybavený odolnými zipy, pohodlnými popruhy a stylovými detaily, které dodávají moderní nádech. Perfektní doplněk pro každého, kdo oceňuje kvalitu a praktičnost."
"CA6619S136-G","Záznamník pro muže pro notebook a iPad® Pro 12,9"" s","Záznamník pro muže pro notebook a iPad® Pro 12,9"" s"
"CA6619S136-N","Záznamník pro muže pro notebook a iPad® Pro 12,9"" s","Záznamník pro muže pro notebook a iPad® Pro 12,9"" s"
"CA6619S136-VE","Záznamník pro muže pro notebook a iPad® Pro 12,9"" s","Záznamník pro muže pro notebook a iPad® Pro 12,9"" s"
"CA6620S136-N","Here is the enhanced Czech translation of the product description: - N","Here is the enhanced Czech translation of the product description:"
"CA6621S136-N","Univerzální mužský batoh na notebook a iPad® – stylové a praktické řešení pro každodenní použití","Univerzální mužský batoh na notebook a iPad® – stylové a praktické řešení pro každodenní použití."
"CA6623S136-N","Praktická pracovní aktovka s oddělenými oddíly pro notebook a iPad®, ideální pro profesionály, kt...","Praktická pracovní aktovka s oddělenými oddíly pro notebook a iPad®, ideální pro profesionály, kteří cenějí pořádek a styl."
"CA6627S136-N","Pánská taška na notebooky nebo iPad® Pro 12,9""","Pánská taška na notebooky nebo iPad® Pro 12,9"""
"CA6631S137-N","Záložní taška pro notebook a iPad® Pro 12,9"" z odolného materiálu","Záložní taška pro notebook a iPad® Pro 12,9"" z odolného materiálu"
"CA6632S137-N","Nesrozbitný jednoramenný pouzdro na iPad® mini z recyklovaného textilu - N","Nesrozbitný jednoramenný pouzdro na iPad® mini z recyklovaného textilu"
"CA6633S137-N","Marsupio mužský crossover z recyklovaného materiálu – styl, ekologie a praktičnost!","Marsupio mužský crossover z recyklovaného materiálu – styl, ekologie a praktičnost!"
"CA6637W129-N","Prácišná taška na notebook a iPad® s praktickým nosným systémem","Prácišná taška na notebook a iPad® s praktickým nosným systémem"
"CA6638C2OW-N","Záložní podsedací taška na notebook a iPad® odolná proti - N","Záložní podsedací taška na notebook a iPad® odolná proti"
"CA6645MOS-BLU","Záložní taška na cestování s možností personalizace, ideální pro notebook a iPad®","Záložní taška na cestování s možností personalizace, ideální pro notebook a iPad®"
"CA6646BR2-BLU","Borsello uomo in tessuto riciclato per iPad®mini - BLU","Mužská peněženka pro iPad® mini z recyklovaného tkaniva"
"CA6648BR2-BLU","Taška na PC a iPad® Pro 12,9"" z odolného materiálu","Taška na PC a iPad® Pro 12,9"" z odolného materiálu"
"CA6677B2-N","Základní damská taška na iPad® mini z kvalitní kůže - N","Základní damská taška na iPad® mini z kvalitní kůže"
"CA6677B2-RO2","Základní damská taška na iPad® mini z kvalitní kůže - RO2","Základní damská taška na iPad® mini z kvalitní kůže"
"CA6678B2-R","Dámský kožený batoh s oddílem pro notebook a oddílem pro iPad® - R","Dámské kožené batohové taška s oddílem pro notebook a oddílem pro iPad®"
"CA6686S134-N","""Výjimečná jednoramenná taška na iPad® Mini – úžasný způsob, jak nosit svůj tablet vždy po ruce","""Výjimečná jednoramenná taška na iPad® Mini – úžasný způsob, jak nosit svůj tablet vždy po ruce. Tato stylová a praktická taška je vyrobená z odolného materiálu, který chrání váš iPad® Mini před poškrábáním a prachem. Doplňte ji svým jménem, iniciály nebo oblíbeným vzorem, abyste vytvořili unikátní a osobité doplňky, který budou odrážet váš styl. Perfektní pro každodenní použití, školu, práci nebo cestování. Nechte se insp"
"CA6687S134-M","Záložní taška na notebook a iPad® z kvalitní kůže - M","Záložní taška na notebook a iPad® z kvalitní kůže"
"CA6690S134BM-N","Univerzální cestovní batoh s vestavěnou ochranou pro notebook a iPad® – dokonalý společník pro ka...","Univerzální cestovní batoh s vestavěnou ochranou pro notebook a iPad® – dokonalý společník pro každodenní dobrodružství!"
"CA6691S125-N","cestovní batoh s oddílem pro notebook a iPad® z kvalitního tkaného materiálu","Praktický cestovní batoh s oddílem pro notebook a iPad® z kvalitního tkaného materiálu. Perfektní společník pro práci i volný čas, kombinující funkčnost a styl. Ideální pro každodenní pouť do práce, cestování či výlety."
"CA6692S125-N","Křížová taška přes rameno - N","Křížová taška přes rameno"
"CA6694S125-N","Monospalla porta iPad®mini in tessuto riciclato - N","Jednoruční náramková taška na iPad® mini"
"CA6698S135-BE","""Rozšířená kufříková taška pro notebook a iPad® – stylové a praktické řešení pro každodenní použití","""Rozšířená kufříková taška pro notebook a iPad® – stylové a praktické řešení pro každodenní použití."
"CA6733S135-N","Borsa tracolla donna modello Moon Bag - N","Taška přes rameno pro dámy z kvalitní kůže – elegantní model Moon Bag."
"CU3049C11-NB","Cintura uomo in pelle con fibbia ad ardiglione - NB","Mužský pás z kvalitní kůže s praktickým ardiglonovým zámekem"
"CU4209MO-NM","Univerzální mužská páska s oboustranným designem a praktickou karabinerkou","Univerzální mužská páska s oboustranným designem a praktickou karabinerkou."
"CU4877B3-NBLU2","Cintura uomo in pelle con fibbia ad ardiglione - NBLU2","Profilová mužská páska z kvalitní kůže s klasickou ardiglione závěsnou spojkou. Vhodná pro každodenní nošení i pro elegantní outfit. Univerzální design doplní vaši garderobu s lehkostí."
"CU4877B3-TMN","Cintura uomo in pelle con fibbia ad ardiglione - TMN","Profilová mužská páska z kvalitní kůže s klasickou ardiglione závěsnou spojkou. Vhodná pro každodenní nošení i pro elegantní outfit. Univerzální design doplní vaši garderobu s lehkostí."
"CU5258B2-BLU2","Mužská páska s kulatou kroužkovou zásuvkou - BLU2","Mužská páska s kulatou kroužkovou zásuvkou"
"CU5258B2-MO","Mužská páska s kulatou kroužkovou zásuvkou - MO","Mužská páska s kulatou kroužkovou zásuvkou"
"CU5270C81-M","Cintura uomo con fibbia ad ardiglione - M","Pás pro muže s karabinerkou"
"CU5270C81-N","Cintura uomo con fibbia ad ardiglione - N","Pás pro muže s karabinerkou"
"CU5927MOS-N","Mužská páska z kůže s kovanou přezkou - N","Mužská páska z kůže s kovanou přezkou"
"CU5928MOS-NBLU","Cintura uomo reversibile in pelle - NBLU","Pánská obouvací opasková páska z kvalitní kůže, reversibilní design pro dvojí styl"
"CU5928MOS-NM","Cintura uomo reversibile in pelle - NM","Pánská obouvací opasková páska z kvalitní kůže, reversibilní design pro dvojí styl"
"CU6179W92-R3","Půvabná páska z kvalitní kůže pro ženy - R3","Půvabná páska z kvalitní kůže pro ženy"
"CUBOX15B2R-BLU2","Dárková kazeta pro muže","Dárková krabička s pánskou opaskem CU5258B2"
"OM5284OM5-BLU","Deštník odolný proti větru z recyklovaného materiálu - BLU","Deštník odolný proti větru z recyklovaného materiálu"
"OM5284OM5-N","Deštník odolný proti větru z recyklovaného materiálu - N","Deštník odolný proti větru z recyklovaného materiálu"
"OM5285OM5-BLU","Pánská peněženka","Automatický větruvzdorný deštník s otevíráním/zavíráním"
"OM5285OM5-N","Pánská peněženka","Automatický větruvzdorný deštník s otevíráním/zavíráním"
"OM5285OM5-R","Pánská peněženka","Automatický větruvzdorný deštník s otevíráním/zavíráním"
"OM5285OM5-VE","Pánská peněženka","Automatický větruvzdorný deštník s otevíráním/zavíráním"
"OM5288OM6-BLU","Automatický větru vzdorný deštník","Automatický deštník s větrním odporem – snadno se otevře a zavře s jedním pokliknutím pro maximální pohodlí. Ideální pro každodenní použití, přináší spolehlivnou ochranu před deštěm a větrem. Moderní design se snadnou obsluhou."
"OM5288OM6-BO","Automatický větru vzdorný deštník","Automatický deštník s větrním odporem – snadno se otevře a zavře s jedním pokliknutím pro maximální pohodlí. Ideální pro každodenní použití, přináší spolehlivnou ochranu před deštěm a větrem. Moderní design se snadnou obsluhou."
"OM5288OM6-N","Automatický větru vzdorný deštník","Automatický větru vzdorný deštník – snadno se otevře a zavře s jedním pokliknutím pro maximální pohodlí. Ideální pro každodenní použití, přináší spolehlivnou ochranu před deštěm a větrem. Moderní design se snadnou obsluhou."
"OM5288OM6-R","Automatický větru vzdorný deštník","Automatický deštník s větrním odporem – snadno se otevře a zavře s jedním pokliknutím pro maximální pohodlí. Ideální pro každodenní použití, přináší spolehlivnou ochranu před deštěm a větrem. Moderní design se snadnou obsluhou."
"OM5288OM6-VE","Automatický větru vzdorný deštník","Automatický deštník s větrním odporem – snadno se otevře a zavře s jedním pokliknutím pro maximální pohodlí. Ideální pro každodenní použití, přináší spolehlivnou ochranu před deštěm a větrem. Moderní design se snadnou obsluhou."
"OM5289OM6-N","Deštník odolný proti větru - N","Deštník odolný proti větru"
"OM5289OM6-R","Deštník odolný proti větru - R","Deštník odolný proti větru"
"OM5289OM6-VE","Deštník odolný proti větru - VE","Deštník odolný proti větru"
"OM6292OM6-R","Ombrellino con custodia - R","Stylový deštník s ochrannou pouzdrem – perfektní ochrana proti nepříjemnému počasí. Tento elegantní deštník s kvalitním, odolným pláštěm a pevnou konstrukcí vám zajistí sucho v každé situaci. Praktická přilnavá pouzdra udržuje váš deštník čistý a pořádek, a tak ho můžete snadno nosit s sebou kamkoli. Ideální pro každodenní použití i jako módní doplněk."
"PA1617B2-MO","Borsa porta abiti in pelle - MO","Výborná kůže kvalitní kabelka na oblečení"
"PA4344MOS-N","Kožená taška na obleky","Elegantní a praktická taška z kvalitní kůže, určená pro bezpečné a pohodlné přenášení obleků a formálního oblečení. Robustní konstrukce a prostorný interiér zajišťují ochranu oděvů před pomačkáním. Ideální pro pracovní cesty, obchodní schůzky nebo cestování."
"PB2830P16-CHEVBLU","Portablocco sottile formato A4 con chiusura a zip - CHEVBLU","Tenký přenosný blok formátu A4 s zipem"
"PB2830P16-CHEVN","Přenosné desky na psaní A4 se zipem","Tenký přenosný blok formátu A4 s zipem"
"PB5483BR2-N","Námořní blok z recyklovaného textilu a kůže - N","Námořní blok z recyklovaného textilu a kůže"
"PC1396B2-AR","Překvapivě stylový a praktický klíčenka z kvalitní kůže s šesti odolnými háčky","Překvapivě stylový a praktický klíčenka z kvalitní kůže s šesti odolnými háčky. Dokonalý společník pro každodenní použití, který udrží všechny vaše klíče pořádek a zároveň dodá Vaší tašce nebo kapsě elegantní dotek."
"PC1396B2-MO","Překvapivě stylový a praktický klíčenka z kvalitní kůže s šesti odolnými háčky","Překvapivě stylový a praktický klíčenka z kvalitní kůže s šesti odolnými háčky. Dokonalý společník pro každodenní použití, který udrží všechny vaše klíče pořádek a zároveň dodá Vaší tašce nebo kapsě elegantní dotek."
"PC1397B2-AR","Portachiavi casa grande - AR","Elegantní a praktický domovský klíčenka vyrobená z kvalitní kůže. Perfektní pro uspořádání a rychlý přístup ke klíčům doma nebo na cestách. Prostorný design zajišťuje dostatek místa pro více klíčů a dalších malých předmětů. Stylový doplněk pro každodenní život."
"PC1397B2-BLU2","Portachiavi casa grande - BLU2","Elegantní a praktický domovský klíčenka vyrobená z kvalitní kůže. Perfektní pro uspořádání a rychlý přístup ke klíčům doma nebo na cestách. Prostorný design zajišťuje dostatek místa pro více klíčů a dalších malých předmětů. Stylový doplněk pro každodenní život."
"PC1397B2-MO","Portachiavi casa grande - MO","Elegantní a praktický domovský klíčenka vyrobená z kvalitní kůže. Perfektní pro uspořádání a rychlý přístup ke klíčům doma nebo na cestách. Prostorný design zajišťuje dostatek místa pro více klíčů a dalších malých předmětů. Stylový doplněk pro každodenní život."
"PC3755B2-AR","Kvalitní mužský klíčenka z pravé kůže s dvěma kroužky - AR","Kvalitní mužský klíčenka z pravé kůže s dvěma kroužky"
"PC3755B2-CU5","Kvalitní mužský klíčenka z pravé kůže s dvěma kroužky - CU5","Kvalitní mužský klíčenka z pravé kůže s dvěma kroužky"
"PC3755B2-G9","Kvalitní mužský klíčenka z pravé kůže s dvěma kroužky - G9","Kvalitní mužský klíčenka z pravé kůže s dvěma kroužky"
"PC3757B2-N","Kulatý mosazný klíčenka ve tvaru kruhu s odnímatelným čepem - N","Kulatý mosazný klíčenka ve tvaru kruhu s odnímatelným čepem"
"PC4216B2-N","Kvalitní kožená klíčenka s dvěma kroužky - N","Kvalitní kožená klíčenka s dvěma kroužky"
"PD1353B2R-R","dámská peněženka z čedičové kůže s odděleným peněženkovým oddílem – praktický a stylový doplněk p...","Kvalitní dámská peněženka z čedičové kůže s odděleným peněženkovým oddílem – praktický a stylový doplněk pro každý den."
"PD1354B2R-MO","Elegantní dámská peněženka","Elegantní dámská peněženka z kvalitní kůže s praktickým oddílem na minci a průhlednou poklopkou. Skládací design s bezpečnou zipovou zip a stylovým úchytem. Dokonalý společník pro každodenní použití nebo zvláštní příležitosti."
"PD1354B2R-N","Elegantní dámská peněženka","Elegantní dameální peněženka z kvalitní kůže s praktickým oddílem na minci a průhlednou poklopkou. Skládací design s bezpečnou zipovou zip a stylovým úchytem. Dokonalý společník pro každodenní použití nebo zvláštní příležitosti."
"PD1354B2R-R","Portafogli da donna con portamonete - R","Elegantní dámská peněženka z kvalitní kůže s praktickým oddílem na minci a průhlednou poklopkou. Skládací design s bezpečnou zipovou zip a stylovým úchytem. Dokonalý společník pro každodenní použití nebo zvláštní příležitosti."
"PD1515B2R-BI2","Kompaktní peněženka","Velká damská peněženka se zipem, 4 oddíly pro peníze, 2 oddíly pro karty a několik vnitřních kapiček na další věci. Praktický a prostorný design s elegancí pro každodenní použití."
"PD1515B2R-G5","Kompaktní peněženka","Velká damská peněženka se zipem, 4 oddíly pro peníze, 2 oddíly pro karty a několik vnitřních kapiček na další věci. Praktický a prostorný design s elegancí pro každodenní použití."
"PD1515B2R-MO","Kompaktní peněženka","Velká damská peněženka se zipem, 4 oddíly pro peníze, 2 oddíly pro karty a několik vnitřních kapiček na další věci. Praktický a prostorný design s elegancí pro každodenní použití."
"PD1515B2R-N","Kompaktní peněženka","Velká damská peněženka se zipem, 4 oddíly pro peníze, 2 oddíly pro karty a několik vnitřních kapiček na další věci. Praktický a prostorný design s elegancí pro každodenní použití."
"PD1515B2R-R","Kompaktní peněženka","Velká damská peněženka se zipem, 4 oddíly pro peníze, 2 oddíly pro karty a několik vnitřních kapiček na další věci. Praktický a prostorný design s elegancí pro každodenní použití."
"PD1515W134R-BO","Velký damský peněženkový kožený přízračný peněženka s 4 oddíly a zipem. - BO","Velký damský peněženkový kožený přízračný peněženka s 4 oddíly a zipem."
"PD1515W134R-N","Velký damský peněženkový kožený přízračný peněženka s 4 oddíly a zipem. - N","Velký damský peněženkový kožený přízračný peněženka s 4 oddíly a zipem."
"PD1515W92R-CU","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty. - CU","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty."
"PD1515W92R-CU2","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty. - CU2","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty."
"PD1515W92R-N","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty. - N","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty."
"PD1515W92R-R","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty. - R","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty."
"PD1515W92R-R3","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty. - R3","Velká ženská peněženka s zipem a 4 oddíly pro peníze, karty a dokumenty."
"PD1515W92TR-N","Velký damský peněženkový kontejner s 4 oddíly a zipem pro bezpečnost - N","Velký damský peněženkový kontejner s 4 oddíly a zipem pro bezpečnost"
"PD5216B2R-N","Malá damská kožená peněženka","Malý dámský peněženkový pouzdro z kůže s oddílem na kreditní karty"
"PD5216B2R-R","Portafogli da donna piccolo - R","Malý dámský peněženkový pouzdro z kůže s oddílem na kreditní karty"
"PD5216W92R-N","Krásný malý dámský peněženkový pouzdro s místem na kreditky, vyrobené z kvalitní kůže","Krásný malý dámský peněženkový pouzdro s místem na kreditky, vyrobené z kvalitní kůže. Stylové a kompaktní, ideální pro každodenní použití."
"PD6471W92R-N","Portafoglio donna piccolo - N","Malá dámská kabelka z kvalitní kůže s odděleným oddílem na kreditní karty"
"PD6660B2R-R","Tenké damské peněžence z kvalitní kůže s oddílem na mince. - R","Tenké damské peněžence z kvalitní kůže s oddílem na mince."
"PD6660W92R-N","Přízní sobě luxus s tímto elegantním dámským peněženkovým systémem z kvalitní kůže","Přízní sobě luxus s tímto elegantním dámským peněženkovým systémem z kvalitní kůže. Kompaktně navržený krabičkový portmone s odděleným oddílem na mince a kreditní karty, který se snadno vloží do každé peněženky. Odolná, měkká kůže zajistí dlouhodobou odolnost a přirozenou eleganci. Dokonalý doplněk pro každodenní styl."
"PD6661B2R-R","Elegantní dámská peněženka","Eleganční dámská peněženka z kvalitní kůže s praktickým oddělením na mince."
"PD6661B2R-RO2","Elegantní dámská peněženka","Eleganční dámská peněženka z kvalitní kůže s praktickým oddělením na mince."
"PD6661W92R-N","Dámská peněženka s peněžníkem a oddílem na karty - N","Dámská peněženka s peněžníkem a oddílem na karty"
"PP1518B3R-N","Mužská peněženka z kůže pro kreditní karty - N","Mužská peněženka z kůže pro kreditní karty"
"PP1518B3R-TM","Mužská peněženka z kůže pro kreditní karty - TM","Mužská peněženka z kůže pro kreditní karty"
"PP1660MOSR-N","Porta passaporto - N","Elegante peněženka na pas v kvalitní kůži – dokonalý společník pro vaše cestování"
"PP2762B2R-BLU2","Portacarte uomo sottile - BLU2","Tenké peněženky pro kreditní karty z kůže pro muže"
"PP2762B2R-MO","Portacarte uomo sottile - MO","Tenké peněženky pro kreditní karty z kůže pro muže"
"PP2762B2R-N","Portacarte uomo sottile - N","Tenké peněženky pro kreditní karty z kůže pro muže"
"PP2762B2R-R","Portacarte uomo sottile - R","Tenké peněženky pro kreditní karty z kůže pro muže"
"PP2762B3R-CU","Tenké kožené peněženky pro muže na kreditní karty - CU","Tenké pánské peněženky z kůže na platební karty"
"PP2762B3R-N","Tenké kožené mužské peněženky na kreditní karty - N","Tenké pánské peněženky z kůže na kreditní karty"
"PP2762B3R-TM","Tenké pánské kožené peněženky na kreditní karty - TM","Tenké pánské kožené peněženky na kreditní karty"
